Quality,Last,Fit,Latest,Trends,Stylish,Value,Bargain,Worth,Satisfied,Purchase,Recommend,Retailer
2,1,1,4,5,4,1,6,1,7,5,6,E
4,3,4,4,2,4,2,6,3,7,7,6,E
5,7,5,1,1,1,1,4,1,7,7,6,E
1,3,1,4,4,3,4,4,5,6,6,6,E
3,4,2,6,6,7,1,4,1,5,3,6,E
1,1,1,3,4,1,1,3,2,6,5,6,E
5,5,5,1,2,2,7,7,6,6,7,7,E
3,4,3,3,2,3,1,6,1,4,4,4,E
2,1,1,5,3,4,1,5,2,7,6,5,E
3,3,4,1,2,1,1,4,3,3,3,4,E
1,3,2,2,3,2,5,7,4,7,7,7,E
5,5,5,6,7,6,3,7,3,4,3,3,E
1,2,2,7,6,6,1,3,1,3,3,2,E
1,2,1,3,4,3,5,6,4,7,5,7,E
4,6,4,7,6,7,1,5,1,7,5,6,E
2,1,1,1,2,1,2,6,2,4,3,5,E
5,6,3,4,4,5,1,7,3,6,7,7,E
1,1,1,5,3,5,2,6,2,2,2,3,E
4,4,4,1,1,1,2,4,3,7,7,7,E
6,6,5,6,6,6,4,7,4,7,7,6,E
4,4,5,4,3,5,7,7,7,6,6,5,E
6,5,7,2,2,4,2,5,2,7,5,6,E
7,7,7,7,6,7,1,5,1,4,5,4,E
3,2,3,5,6,4,5,7,5,7,7,5,E
1,1,1,6,6,6,6,7,5,5,5,6,E
1,1,1,3,1,1,6,7,7,5,6,7,E
3,2,3,4,4,3,1,6,2,3,2,3,E
7,7,5,6,5,5,5,5,4,5,6,5,E
1,2,1,4,4,4,4,6,4,5,4,6,E
3,3,4,5,5,6,6,7,5,4,2,4,E
3,3,1,2,1,1,5,6,6,6,7,7,E
1,1,1,1,1,1,1,6,1,7,7,7,E
2,2,2,4,5,4,1,6,1,6,7,6,E
4,5,4,4,5,3,2,3,2,4,4,3,E
3,3,3,5,6,4,1,5,1,5,3,6,E
2,1,1,3,3,3,3,7,2,7,6,7,E
5,5,5,2,2,2,1,4,1,2,4,1,E
2,1,4,7,6,6,3,7,4,7,6,6,E
1,1,2,3,2,2,3,5,4,7,7,7,E
1,1,3,4,3,3,1,6,1,7,6,7,E
3,4,3,1,2,1,4,7,5,4,4,3,E
4,4,4,5,3,6,1,5,1,5,6,5,E
2,2,4,5,3,5,2,4,1,7,7,7,E
5,6,4,7,7,7,4,5,4,7,7,7,E
1,1,2,3,5,5,3,6,3,5,6,5,E
1,1,2,7,6,7,1,2,1,7,6,7,E
3,2,2,6,7,7,2,6,1,6,6,7,E
1,1,2,6,7,6,1,2,2,6,7,6,E
4,3,4,2,2,1,3,5,2,7,6,5,E
4,2,4,2,3,1,2,4,1,7,7,7,E
1,2,2,1,1,1,3,7,3,6,4,6,E
3,2,4,3,4,4,2,6,1,5,3,5,E
1,1,1,3,3,4,4,7,3,5,6,4,E
6,5,6,2,4,3,6,7,7,7,7,7,E
2,3,2,2,2,1,1,6,1,3,5,4,E
1,1,1,4,4,5,6,7,7,4,6,5,E
2,2,1,4,2,4,5,7,5,7,7,6,E
3,3,1,4,5,4,1,4,1,7,7,6,E
5,5,6,7,7,7,1,5,1,5,4,7,E
1,1,1,2,2,2,4,7,3,5,7,5,E
3,1,5,5,6,6,3,7,3,6,6,4,E
4,4,4,1,3,1,1,2,1,6,6,6,E
6,5,6,2,3,4,1,3,2,4,4,3,E
2,2,1,2,4,2,3,4,2,2,2,2,E
3,3,3,7,7,7,4,4,3,4,4,4,E
1,1,2,5,7,4,4,7,3,7,7,6,E
2,1,3,7,5,7,2,7,2,2,1,2,E
4,2,3,1,1,1,1,6,2,7,7,7,E
1,3,2,4,4,3,3,7,3,5,5,6,E
6,4,6,4,5,2,2,5,2,5,7,5,E
